#{"t_start": 1750515079.131804, "env_id": null}
r,l,t
-10945.515,21717,192.217713
-1900.805,3809,236.228654
-2457.35,5027,271.380938
-4343.52,8778,354.488904
-2313.555,4580,403.279039
-755.345,1627,414.603612
-771.02,1657,426.294261
-1169.195,2441,460.650208
-1592.935,3178,482.919522
-8273.625,16327,630.930484
-2339.17,4652,679.957135
-918.655,1943,693.860783
-10860.325,21719,887.723482
-5421.795,10946,999.683308
-585.365,1288,1009.449297
-6563.755,12716,1120.351276
-4298.025,8527,1199.623965
-10883.04,21717,1409.552157
-10868.965,21714,1615.916608
-10832.515,21717,1808.214096
-2372.84,4754,1859.060023
-4617.4,9311,1940.599181
-2329.18,4771,1990.262295
-9140.145,18126,2152.424396
-4342.165,8753,2229.911132
-610.805,1313,2238.981949
-1545.05,3159,2277.392386
-514.25,1144,2285.548886
-4923.585,9884,2371.548573
-5057.01,9897,2458.603962
-2693.14,5421,2516.636229
-2476.715,5045,2551.601537
-6316.315,12529,2672.064749
-576.57,1268,2680.886713
-4757.38,9552,2764.61332
-781.845,1674,2776.549613
-7346.21,14734,2914.707874
-9657.855,19029,3098.945591
-3160.125,6405,3143.060827
-1297.7,2711,3178.755316
-10350.845,19847,3360.216228
-5424.625,10685,3455.597561
-1663.505,3260,3494.952698
-7305.205,14755,3635.539827
-1850.54,3822,3664.409653
-4385.01,8712,3744.857791
-5981.26,11939,3864.64336
-5312.905,10550,3959.827053
-573.27,1260,3969.604151
-1590.92,3187,3994.071456
-851.5,1727,4022.240191
-2790.59,5593,4064.955042
-1103.37,2252,4097.420357
-904.075,1924,4112.237341
-2519.175,5119,4153.10979
-1167.79,2449,4187.884506
-3200.8,6404,4249.046883
-2324.84,4660,4281.253732
-3088.99,6293,4345.988595
-527.65,1170,4355.02505
-10060.915,20110,4534.105206
-1652.675,3418,4577.886585
-3173.835,6458,4639.062024
-703.38,1523,4649.681067
-8425.34,16863,4799.062598
-5856.76,11802,4899.324481
-8778.765,17314,5061.176902
-6472.92,12843,5188.785146
-2710.1,5532,5245.683148
-1760.365,3578,5272.916126
-503.69,1123,5281.633941
-10784.62,21720,5492.13857
-957.615,2032,5507.628561
-10782.06,21706,5717.789778
-2234.895,4562,5752.575333
-10304.19,20450,5953.24719
-8621.775,17306,6114.769909
-614.81,1344,6125.085588
-1561.61,3158,6164.315668
-8477.555,16969,6323.517605
-4782.08,9664,6412.099526
-1494.0,3105,6435.882448
-10847.595,21896,6647.80063
-2168.66,4376,6681.313134
-921.13,1957,6711.122333
-2717.71,5365,6751.95775
-4159.72,8376,6830.725881
-4427.75,8851,6913.115661
-8434.26,16963,7072.033252
-1527.245,3127,7111.38508
-688.36,1489,7123.151378
-1690.93,3383,7149.127903
-1948.685,4003,7194.497806
-2319.045,4743,7246.572213
-2844.93,5724,7289.122679
-8504.82,17008,7448.63624
-2211.225,4483,7497.979793
-1362.13,2722,7518.900846
-2571.43,5252,7573.668625
-10146.61,20016,7755.829871
-10777.885,21717,7965.572989
-5243.36,10539,8060.329363
